   -1 inaro.wallpaper call            surfaceflinger
    3 0.000           196.51202       binder_update_page_range
    3 0.000           196.51202       binder_delete_free_buffer
    3 0.000           196.51205       binder_insert_free_buffer
    2 30.517          196.51205       binder_transaction
    3 0.000           196.51205       binder_update_page_range
    3 0.000           196.51205       binder_insert_free_buffer
    3 0.000           196.51205       binder_inc_node
    1 39184.57        196.51208       binder_thread_read
    2 0.000           196.51214       binder_set_nice


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.51223       binder_ioctl
    1 0.000           196.51223       binder_get_thread
    1 61.035          196.51223       binder_thread_write
    2 61.035          196.51223       binder_transaction
    3 0.000           196.51223       binder_set_nice
    3 0.000           196.51226       binder_update_page_range
    3 0.000           196.51226       binder_insert_free_buffer
    3 0.000           196.51226       binder_pop_transaction
    1 0.000           196.51229       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 122.070         196.52285       binder_ioctl
    1 0.000           196.52285       binder_get_thread
    1 122.070         196.52285       binder_thread_write
    2 122.070         196.52285       binder_transaction
    3 0.000           196.52294       binder_update_page_range
    3 0.000           196.52294       binder_insert_free_buffer
    3 0.000           196.52294       binder_inc_node
    1 0.000           196.52297       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 91.553          196.52304       binder_ioctl
    1 0.000           196.52304       binder_get_thread
    1 91.553          196.52304       binder_thread_write
    2 91.553          196.52310       binder_transaction
    3 0.000           196.52310       binder_set_nice
    3 0.000           196.52310       binder_update_page_range
    3 0.000           196.52310       binder_insert_free_buffer
    3 0.000           196.52310       binder_pop_transaction
    1 0.000           196.52313       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 152.587         196.52316       binder_ioctl
    1 0.000           196.52316       binder_get_thread
    1 30.518          196.52316       binder_thread_write
    2 0.000           196.52316       binder_transaction_buffer_release
    3 0.000           196.52316       binder_dec_node
    2 30.518          196.52316       binder_free_buf
    3 0.000           196.52316       binder_update_page_range
    3 0.000           196.52316       binder_delete_free_buffer
    3 30.518          196.52319       binder_insert_free_buffer
    1 35766.60        196.52319       binder_thread_read
    2 0.000           196.52319       binder_set_nice
    2 457.764         196.52828       binder_ioctl
    3 0.000           196.52828       binder_get_thread
    3 61.036          196.52828       binder_thread_write
    4 0.000           196.52828       binder_transaction_buffer_release
    4 30.518          196.52828       binder_free_buf
    5 0.000           196.52828       binder_update_page_range
    5 30.518          196.52828       binder_delete_free_buffer
    5 0.000           196.52832       binder_insert_free_buffer
    4 30.518          196.52832       binder_transaction
    5 0.000           196.52832       binder_update_page_range
    5 0.000           196.52832       binder_insert_free_buffer
    5 0.000           196.52832       binder_inc_node
    3 0.000           196.52838       binder_thread_read
    2 35736.08        196.52838       binder_ioctl
    3 0.000           196.52838       binder_get_thread
    3 640.869         196.52838       binder_thread_read
    3 0.000           196.52841       binder_set_nice
    1 61.036          196.52850       binder_ioctl
    2 0.000           196.52850       binder_get_thread
    2 61.036          196.52850       binder_thread_write
    3 61.036          196.52850       binder_transaction
    4 0.000           196.52850       binder_set_nice
    4 0.000           196.52850       binder_update_page_range
    4 0.000           196.52853       binder_insert_free_buffer
    4 0.000           196.52853       binder_pop_transaction
    2 0.000           196.52856       binder_thread_read
    1 32104.49        196.52859       binder_ioctl
    2 0.000           196.52859       binder_get_thread
    2 30.518          196.52859       binder_thread_write
    3 0.000           196.52859       binder_transaction_buffer_release
    4 0.000           196.52859       binder_dec_node
    3 30.518          196.52859       binder_free_buf
    4 0.000           196.52859       binder_update_page_range
    4 0.000           196.52862       binder_delete_free_buffer
    4 0.000           196.52862       binder_insert_free_buffer
    2 671.387         196.52862       binder_thread_read
    3 0.000           196.52862       binder_set_nice
    2 61.035          196.52914       binder_ioctl
    3 0.000           196.52914       binder_get_thread
    3 30.517          196.52914       binder_thread_write
    4 0.000           196.52914       binder_transaction_buffer_release
    4 30.517          196.52914       binder_free_buf
    5 0.000           196.52914       binder_update_page_range
    5 0.000           196.52914       binder_delete_free_buffer
    5 0.000           196.52914       binder_insert_free_buffer
    2 122.070         196.53927       binder_ioctl
    3 0.000           196.53927       binder_get_thread
    3 122.070         196.53927       binder_thread_write
    4 30.518          196.53936       binder_transaction
    5 0.000           196.53936       binder_update_page_range
    5 0.000           196.53936       binder_insert_free_buffer
    5 0.000           196.53936       binder_inc_node
    3 0.000           196.53939       binder_thread_read
    2 32073.97        196.53942       binder_ioctl
    3 0.000           196.53942       binder_get_thread
    3 152.588         196.53942       binder_thread_read
    3 0.000           196.53945       binder_set_nice
    1 91.552          196.53948       binder_ioctl
    2 0.000           196.53948       binder_get_thread
    2 91.552          196.53948       binder_thread_write
    3 91.552          196.53948       binder_transaction
    4 0.000           196.53948       binder_set_nice
    4 0.000           196.53955       binder_update_page_range
    4 0.000           196.53955       binder_insert_free_buffer
    4 0.000           196.53955       binder_pop_transaction
    2 0.000           196.53958       binder_thread_read
    1 183.105         196.53958       binder_ioctl
    2 0.000           196.53958       binder_get_thread
    1 0.000           196.53961       binder_thread_write
    2 0.000           196.53961       binder_transaction_buffer_release
    3 0.000           196.53961       binder_dec_node
    2 0.000           196.53961       binder_free_buf
    3 0.000           196.53961       binder_update_page_range
    3 0.000           196.53961       binder_delete_free_buffer
    3 0.000           196.53961       binder_insert_free_buffer
    1 31646.72        196.53961       binder_thread_read
    2 30.517          196.53961       binder_set_nice
    2 31890.87        196.54403       binder_ioctl
    3 0.000           196.54403       binder_get_thread
    3 122.070         196.54406       binder_thread_write
    4 0.000           196.54406       binder_transaction_buffer_release
    4 0.000           196.54406       binder_free_buf
    5 0.000           196.54406       binder_update_page_range
    5 0.000           196.54406       binder_delete_free_buffer
    5 0.000           196.54406       binder_insert_free_buffer
    4 91.553          196.54406       binder_transaction
    5 0.000           196.54409       binder_update_page_range
    5 0.000           196.54409       binder_insert_free_buffer
    5 0.000           196.54409       binder_inc_node
    3 31860.35        196.54415       binder_thread_read
    4 30.518          196.54418       binder_set_nice
    2 122.070         196.54418       binder_ioctl
    3 0.000           196.54418       binder_get_thread
    3 122.070         196.54418       binder_thread_write
    4 122.070         196.54418       binder_transaction
    5 91.552          196.54428       binder_set_nice
    5 0.000           196.54428       binder_update_page_range
    5 0.000           196.54428       binder_insert_free_buffer
    5 0.000           196.54428       binder_pop_transaction
    3 0.000           196.54431       binder_thread_read
    2 335.693         196.54431       binder_ioctl
    3 30.518          196.54431       binder_get_thread
    3 30.517          196.54434       binder_thread_write
    4 0.000           196.54434       binder_transaction_buffer_release
    5 0.000           196.54434       binder_dec_node
    4 0.000           196.54434       binder_free_buf
    5 0.000           196.54434       binder_update_page_range
    5 0.000           196.54434       binder_delete_free_buffer
    5 0.000           196.54434       binder_insert_free_buffer
    3 213.623         196.54437       binder_thread_read
    4 0.000           196.54437       binder_set_nice
    2 61.035          196.54443       binder_ioctl
    3 0.000           196.54443       binder_get_thread
    3 61.035          196.54443       binder_thread_write
    4 0.000           196.54443       binder_transaction_buffer_release
    4 0.000           196.54449       binder_free_buf
    5 0.000           196.54449       binder_update_page_range
    5 0.000           196.54449       binder_delete_free_buffer
    5 0.000           196.54449       binder_insert_free_buffer
    2 122.070         196.55465       binder_ioctl
    3 61.035          196.55465       binder_get_thread
    3 61.035          196.55471       binder_thread_write
    4 30.518          196.55471       binder_transaction
    5 0.000           196.55471       binder_update_page_range
    5 0.000           196.55471       binder_insert_free_buffer
    5 30.518          196.55471       binder_inc_node
    3 0.000           196.55477       binder_thread_read
    2 31616.21        196.55477       binder_ioctl
    3 0.000           196.55477       binder_get_thread
    3 152.588         196.55477       binder_thread_read
    3 0.000           196.55480       binder_set_nice
    1 61.035          196.55487       binder_ioctl
